Year,Group,Home_name,Home_seed,Away_name,Away_seed,Home_score,Away_score
2013,C,Zenit,2,Malaga,4,2,2
2013,C,Anderlecht,3,Milan,1,1,3
2013,C,Malaga,4,Anderlecht,3,2,2
2013,C,Milan,1,Zenit,2,0,1
2013,D,Dortmund,4,Ajax,3,1,0
2013,D,R.Madrid,1,Man.City,2,3,2
2013,D,Man.City,2,Dortmund,4,1,1
2013,D,Ajax,3,R.Madrid,1,1,4
2013,D,Ajax,3,Man.City,2,3,1
2013,D,Dortmund,4,R.Madrid,1,2,1
2013,D,Man.City,2,Ajax,3,2,2
2013,D,R.Madrid,1,Dortmund,4,2,2
2013,D,Ajax,3,Dortmund,4,1,4
2013,D,Man.City,2,R.Madrid,1,1,1
2013,D,Dortmund,4,Man.City,2,1,0
2013,D,R.Madrid,1,Ajax,3,4,1
2013,E,Donetsk,2,Nordsjalland,4,2,0
2013,E,Chelsea,1,Juventus,3,2,2
2013,E,Juventus,3,Donetsk,2,1,1
2013,E,Nordsjalland,4,Chelsea,1,0,4
2013,E,Nordsjalland,4,Juventus,3,1,1
2013,E,Donetsk,2,Chelsea,1,2,1
2013,E,Juventus,3,Nordsjalland,4,4,0
2013,E,Chelsea,1,Donetsk,2,3,2
2013,E,Nordsjalland,4,Donetsk,2,2,5
2013,E,Juventus,3,Chelsea,1,3,0
2013,E,Donetsk,2,Juventus,3,0,1
2013,E,Chelsea,1,Nordsjalland,4,6,1
2013,F,Lille,3,Borisov,4,1,3
2013,F,Bayern,1,Valencia,2,2,1
2013,F,Valencia,2,Lille,3,2,0
2013,F,Borisov,4,Bayern,1,3,1
2013,F,Borisov,4,Valencia,2,0,3
2013,F,Lille,3,Bayern,1,0,1
2013,F,Valencia,2,Borisov,4,4,2
2013,F,Bayern,1,Lille,3,6,1
2013,F,Borisov,4,Lille,3,0,2
2013,F,Valencia,2,Bayern,1,1,1
2013,F,Lille,3,Valencia,2,0,1
2013,F,Bayern,1,Borisov,4,4,1
2013,G,Barcelona,1,Spartak,3,3,2
2013,G,Celtic,4,Benfica,2,0,0
2013,G,Spartak,3,Celtic,4,2,3
2013,G,Benfica,2,Barcelona,1,0,2
2013,G,Spartak,3,Benfica,2,2,1
2013,G,Barcelona,1,Celtic,4,2,1
2013,G,Benfica,2,Spartak,3,2,0
2013,G,Celtic,4,Barcelona,1,2,1
2013,G,Spartak,3,Barcelona,1,0,3
2013,G,Benfica,2,Celtic,4,2,1
2013,G,Barcelona,1,Benfica,2,0,0
2013,G,Celtic,4,Spartak,3,2,1
2013,H,Man.Utd,1,Galatasaray,3,1,0
2013,H,Braga,2,Cluj,4,0,2
2013,H,Cluj,4,Man.Utd,1,1,2
2013,H,Galatasaray,3,Braga,2,0,2
2013,H,Galatasaray,3,Cluj,4,1,1
2013,H,Man.Utd,1,Braga,2,3,2
2013,H,Cluj,4,Galatasaray,3,1,3
2013,H,Braga,2,Man.Utd,1,1,3
2013,H,Galatasaray,3,Man.Utd,1,1,0
2013,H,Cluj,4,Braga,2,3,1
2013,H,Man.Utd,1,Cluj,4,0,1
2013,H,Braga,2,Galatasaray,3,1,2
2012,A,Man.City,3,Napoli,4,1,1
2012,A,Villarreal,2,Bayern,1,0,2
2012,A,Bayern,1,Man.City,3,2,0
2012,A,Napoli,4,Villarreal,2,2,0
2012,A,Napoli,4,Bayern,1,1,1
2012,A,Man.City,3,Villarreal,2,2,1
2012,A,Bayern,1,Napoli,4,3,2
2012,A,Villarreal,2,Man.City,3,0,3
2012,A,Napoli,4,Man.City,3,2,1
2012,A,Bayern,1,Villarreal,2,3,1
2012,A,Man.City,3,Bayern,1,2,0
2012,A,Villarreal,2,Napoli,4,0,2
2012,B,Lille,3,CSKA.Moscow,2,2,2
2012,B,Inter,1,Trabzonspor,4,0,1
2012,B,CSKA.Moscow,2,Inter,1,2,3
2012,B,Trabzonspor,4,Lille,3,1,1
2012,B,CSKA.Moscow,2,Trabzonspor,4,3,0
2012,B,Lille,3,Inter,1,0,1
2012,B,Trabzonspor,4,CSKA.Moscow,2,0,0
